record_id,source_system,business_unit,management_system,category,status,reference,action_reference,risk_level,last_review,next_review,target_date,reporting_period,data_source,record_type
REC-034,Integrated,Site D,System A,Category B,Open,REF-034,AP-034,High,2025-05-17,2025-11-17,2025-11-30,2025-05,API,Recommendation
REC-035,Integrated,Site E,System B,Category C,Completed,REF-035,AP-035,Low,2025-06-07,2025-12-07,2025-12-20,2025-06,HISTORICAL,Requirement
REC-036,Integrated,Site A,System C,Category D,In Progress,REF-036,AP-036,Critical,2025-06-21,2025-12-21,2025-12-31,2025-06,API,Requirement
REC-037,Integrated,Site B,System A,Category A,Open,REF-037,AP-037,Medium,2025-07-03,2026-01-03,2026-01-20,2025-07,HISTORICAL,Requirement
REC-038,Integrated,Site C,System B,Category B,Completed,REF-038,AP-038,High,2025-07-19,2026-01-19,2026-01-31,2025-07,API,Recommendation
REC-039,Integrated,Site D,System C,Category C,In Progress,REF-039,AP-039,Low,2025-08-08,2026-02-08,2026-02-20,2025-08,HISTORICAL,Requirement
REC-040,Integrated,Site E,System A,Category D,Open,REF-040,AP-040,Critical,2025-08-25,2026-02-25,2026-02-28,2025-08,API,Requirement
REC-041,Integrated,Site A,System B,Category A,Completed,REF-041,AP-041,Medium,2025-09-09,2026-03-09,2026-03-20,2025-09,HISTORICAL,Requirement
REC-042,Integrated,Site B,System C,Category B,In Progress,REF-042,AP-042,High,2025-09-23,2026-03-23,2026-03-31,2025-09,API,Recommendation
REC-043,Integrated,Site C,System A,Category C,Open,REF-043,AP-043,Low,2025-10-07,2026-04-07,2026-04-20,2025-10,HISTORICAL,Requirement
REC-044,Integrated,Site D,System B,Category D,Completed,REF-044,AP-044,Critical,2025-10-21,2026-04-21,2026-04-30,2025-10,API,Requirement
REC-045,Integrated,Site E,System C,Category A,In Progress,REF-045,AP-045,Medium,2025-11-11,2026-05-11,2026-05-20,2025-11,HISTORICAL,Requirement
REC-046,Integrated,Site A,System A,Category B,Open,REF-046,AP-046,High,2025-11-25,2026-05-25,2026-05-31,2025-11,API,Recommendation
REC-047,Integrated,Site B,System B,Category C,Completed,REF-047,AP-047,Low,2025-12-05,2026-06-05,2026-06-20,2025-12,HISTORICAL,Requirement
REC-048,Integrated,Site C,System C,Category D,In Progress,REF-048,AP-048,Critical,2025-12-18,2026-06-18,2026-06-30,2025-12,API,Requirement
REC-049,Integrated,Site D,System A,Category A,Open,REF-049,AP-049,Medium,2026-01-10,2026-07-10,2026-07-20,2026-01,HISTORICAL,Requirement
REC-050,Integrated,Site E,System B,Category B,Completed,REF-050,AP-050,High,2026-01-22,2026-07-22,2026-07-31,2026-01,API,Recommendation
