record_id,business_unit,management_system,category,status,owner,reference,event_date,next_review,target_date,action_reference,risk_level,is_active,created_at,updated_at
REC-015,Site E,System C,Category C,In Progress,User O,REF-015,2024-08-02,2025-02-02,2025-02-20,AP-015,Low,Yes,2024-08-02,2024-08-02
REC-016,Site A,System A,Category D,Open,User P,REF-016,2024-08-22,2025-02-22,2025-02-28,AP-016,Critical,Yes,2024-08-22,2024-08-22
REC-017,Site B,System B,Category A,Completed,User Q,REF-017,2024-09-06,2025-03-06,2025-03-20,AP-017,Medium,Yes,2024-09-06,2024-09-06
REC-018,Site C,System C,Category B,In Progress,User R,REF-018,2024-09-19,2025-03-19,2025-03-31,AP-018,High,Yes,2024-09-19,2024-09-19
REC-019,Site D,System A,Category C,Open,User S,REF-019,2024-10-03,2025-04-03,2025-04-20,AP-019,Low,Yes,2024-10-03,2024-10-03
REC-020,Site E,System B,Category D,Completed,User T,REF-020,2024-10-15,2025-04-15,2025-04-30,AP-020,Critical,Yes,2024-10-15,2024-10-15
REC-021,Site A,System C,Category A,In Progress,User U,REF-021,2024-11-07,2025-05-07,2025-05-20,AP-021,Medium,Yes,2024-11-07,2024-11-07
REC-022,Site B,System A,Category B,Open,User V,REF-022,2024-11-21,2025-05-21,2025-05-31,AP-022,High,Yes,2024-11-21,2024-11-21
REC-023,Site C,System B,Category C,Completed,User W,REF-023,2024-12-05,2025-06-05,2025-06-20,AP-023,Low,Yes,2024-12-05,2024-12-05
REC-024,Site D,System C,Category D,In Progress,User X,REF-024,2024-12-18,2025-06-18,2025-06-30,AP-024,Critical,Yes,2024-12-18,2024-12-18
REC-025,Site E,System A,Category A,Open,User Y,REF-025,2025-01-10,2025-07-10,2025-07-20,AP-025,Medium,Yes,2025-01-10,2025-01-10
REC-026,Site A,System B,Category B,Completed,User Z,REF-026,2025-01-22,2025-07-22,2025-07-31,AP-026,High,Yes,2025-01-22,2025-01-22
REC-027,Site B,System C,Category C,In Progress,User AA,REF-027,2025-02-04,2025-08-04,2025-08-20,AP-027,Low,Yes,2025-02-04,2025-02-04
REC-028,Site C,System A,Category D,Open,User AB,REF-028,2025-02-15,2025-08-15,2025-08-31,AP-028,Critical,Yes,2025-02-15,2025-02-15
REC-029,Site D,System B,Category A,Completed,User AC,REF-029,2025-03-06,2025-09-06,2025-09-20,AP-029,Medium,Yes,2025-03-06,2025-03-06
REC-030,Site E,System C,Category B,In Progress,User AD,REF-030,2025-03-20,2025-09-20,2025-09-30,AP-030,High,Yes,2025-03-20,2025-03-20
REC-031,Site A,System A,Category C,Open,User AE,REF-031,2025-04-08,2025-10-08,2025-10-20,AP-031,Low,Yes,2025-04-08,2025-04-08
REC-032,Site B,System B,Category D,Completed,User AF,REF-032,2025-04-24,2025-10-24,2025-10-31,AP-032,Critical,Yes,2025-04-24,2025-04-24
REC-033,Site C,System C,Category A,In Progress,User AG,REF-033,2025-05-04,2025-11-04,2025-11-20,AP-033,Medium,Yes,2025-05-04,2025-05-04
REC-034,Site D,System A,Category B,Open,User AH,REF-034,2025-05-17,2025-11-17,2025-11-30,AP-034,High,Yes,2025-05-17,2025-05-17
REC-035,Site E,System B,Category C,Completed,User AI,REF-035,2025-06-07,2025-12-07,2025-12-20,AP-035,Low,Yes,2025-06-07,2025-06-07
REC-036,Site A,System C,Category D,In Progress,User AJ,REF-036,2025-06-21,2025-12-21,2025-12-31,AP-036,Critical,Yes,2025-06-21,2025-06-21
REC-037,Site B,System A,Category A,Open,User AK,REF-037,2025-07-03,2026-01-03,2026-01-20,AP-037,Medium,Yes,2025-07-03,2025-07-03
REC-038,Site C,System B,Category B,Completed,User AL,REF-038,2025-07-19,2026-01-19,2026-01-31,AP-038,High,Yes,2025-07-19,2025-07-19
REC-039,Site D,System C,Category C,In Progress,User AM,REF-039,2025-08-08,2026-02-08,2026-02-20,AP-039,Low,Yes,2025-08-08,2025-08-08
REC-040,Site E,System A,Category D,Open,User AN,REF-040,2025-08-25,2026-02-25,2026-02-28,AP-040,Critical,Yes,2025-08-25,2025-08-25
REC-041,Site A,System B,Category A,Completed,User AO,REF-041,2025-09-09,2026-03-09,2026-03-20,AP-041,Medium,Yes,2025-09-09,2025-09-09
REC-042,Site B,System C,Category B,In Progress,User AP,REF-042,2025-09-23,2026-03-23,2026-03-31,AP-042,High,Yes,2025-09-23,2025-09-23
REC-043,Site C,System A,Category C,Open,User AQ,REF-043,2025-10-07,2026-04-07,2026-04-20,AP-043,Low,Yes,2025-10-07,2025-10-07
REC-044,Site D,System B,Category D,Completed,User AR,REF-044,2025-10-21,2026-04-21,2026-04-30,AP-044,Critical,Yes,2025-10-21,2025-10-21
REC-045,Site E,System C,Category A,In Progress,User AS,REF-045,2025-11-11,2026-05-11,2026-05-20,AP-045,Medium,Yes,2025-11-11,2025-11-11
REC-046,Site A,System A,Category B,Open,User AT,REF-046,2025-11-25,2026-05-25,2026-05-31,AP-046,High,Yes,2025-11-25,2025-11-25
REC-047,Site B,System B,Category C,Completed,User AU,REF-047,2025-12-05,2026-06-05,2026-06-20,AP-047,Low,Yes,2025-12-05,2025-12-05
REC-048,Site C,System C,Category D,In Progress,User AV,REF-048,2025-12-18,2026-06-18,2026-06-30,AP-048,Critical,Yes,2025-12-18,2025-12-18
REC-049,Site D,System A,Category A,Open,User AW,REF-049,2026-01-10,2026-07-10,2026-07-20,AP-049,Medium,Yes,2026-01-10,2026-01-10
REC-050,Site E,System B,Category B,Completed,User AX,REF-050,2026-01-22,2026-07-22,2026-07-31,AP-050,High,Yes,2026-01-22,2026-01-22
