mes;unidade;sistema_de_gestao;processo;documento;descricao;tema;ultimaverificacao;proximaverificacao;prazo_plano_de_acao;plano_s_de_acao;responsavel
ago/24;Site A;System A;Process P;DOC-016;Requirement P;Category D;22/08/2024;22/02/2025;28/02/2025;Action Plan 016;User P
set/24;Site B;System B;Process Q;DOC-017;Requirement Q;Category A;06/09/2024;06/03/2025;20/03/2025;Action Plan 017;User Q
set/24;Site C;System C;Process R;DOC-018;Requirement R;Category B;19/09/2024;19/03/2025;31/03/2025;Action Plan 018;User R
out/24;Site D;System A;Process S;DOC-019;Requirement S;Category C;03/10/2024;03/04/2025;20/04/2025;Action Plan 019;User S
out/24;Site E;System B;Process T;DOC-020;Requirement T;Category D;15/10/2024;15/04/2025;30/04/2025;Action Plan 020;User T
nov/24;Site A;System C;Process U;DOC-021;Requirement U;Category A;07/11/2024;07/05/2025;20/05/2025;Action Plan 021;User U
nov/24;Site B;System A;Process V;DOC-022;Requirement V;Category B;21/11/2024;21/05/2025;31/05/2025;Action Plan 022;User V
dez/24;Site C;System B;Process W;DOC-023;Requirement W;Category C;05/12/2024;05/06/2025;20/06/2025;Action Plan 023;User W
dez/24;Site D;System C;Process X;DOC-024;Requirement X;Category D;18/12/2024;18/06/2025;30/06/2025;Action Plan 024;User X
jan/25;Site E;System A;Process Y;DOC-025;Requirement Y;Category A;10/01/2025;10/07/2025;20/07/2025;Action Plan 025;User Y
jan/25;Site A;System B;Process Z;DOC-026;Requirement Z;Category B;22/01/2025;22/07/2025;31/07/2025;Action Plan 026;User Z
fev/25;Site B;System C;Process AA;DOC-027;Requirement AA;Category C;04/02/2025;04/08/2025;20/08/2025;Action Plan 027;User AA
fev/25;Site C;System A;Process AB;DOC-028;Requirement AB;Category D;15/02/2025;15/08/2025;31/08/2025;Action Plan 028;User AB
mar/25;Site D;System B;Process AC;DOC-029;Requirement AC;Category A;06/03/2025;06/09/2025;20/09/2025;Action Plan 029;User AC
mar/25;Site E;System C;Process AD;DOC-030;Requirement AD;Category B;20/03/2025;20/09/2025;30/09/2025;Action Plan 030;User AD
abr/25;Site A;System A;Process AE;DOC-031;Requirement AE;Category C;08/04/2025;08/10/2025;20/10/2025;Action Plan 031;User AE
abr/25;Site B;System B;Process AF;DOC-032;Requirement AF;Category D;24/04/2025;24/10/2025;31/10/2025;Action Plan 032;User AF
mai/25;Site C;System C;Process AG;DOC-033;Requirement AG;Category A;04/05/2025;04/11/2025;20/11/2025;Action Plan 033;User AG
mai/25;Site D;System A;Process AH;DOC-034;Requirement AH;Category B;17/05/2025;17/11/2025;30/11/2025;Action Plan 034;User AH
jun/25;Site E;System B;Process AI;DOC-035;Requirement AI;Category C;07/06/2025;07/12/2025;20/12/2025;Action Plan 035;User AI
jun/25;Site A;System C;Process AJ;DOC-036;Requirement AJ;Category D;21/06/2025;21/12/2025;31/12/2025;Action Plan 036;User AJ
jul/25;Site B;System A;Process AK;DOC-037;Requirement AK;Category A;03/07/2025;03/01/2026;20/01/2026;Action Plan 037;User AK
jul/25;Site C;System B;Process AL;DOC-038;Requirement AL;Category B;19/07/2025;19/01/2026;31/01/2026;Action Plan 038;User AL
ago/25;Site D;System C;Process AM;DOC-039;Requirement AM;Category C;08/08/2025;08/02/2026;20/02/2026;Action Plan 039;User AM
ago/25;Site E;System A;Process AN;DOC-040;Requirement AN;Category D;25/08/2025;25/02/2026;28/02/2026;Action Plan 040;User AN
set/25;Site A;System B;Process AO;DOC-041;Requirement AO;Category A;09/09/2025;09/03/2026;20/03/2026;Action Plan 041;User AO
set/25;Site B;System C;Process AP;DOC-042;Requirement AP;Category B;23/09/2025;23/03/2026;31/03/2026;Action Plan 042;User AP
out/25;Site C;System A;Process AQ;DOC-043;Requirement AQ;Category C;07/10/2025;07/04/2026;20/04/2026;Action Plan 043;User AQ
out/25;Site D;System B;Process AR;DOC-044;Requirement AR;Category D;21/10/2025;21/04/2026;30/04/2026;Action Plan 044;User AR
nov/25;Site E;System C;Process AS;DOC-045;Requirement AS;Category A;11/11/2025;11/05/2026;20/05/2026;Action Plan 045;User AS
nov/25;Site A;System A;Process AT;DOC-046;Requirement AT;Category B;25/11/2025;25/05/2026;31/05/2026;Action Plan 046;User AT
dez/25;Site B;System B;Process AU;DOC-047;Requirement AU;Category C;05/12/2025;05/06/2026;20/06/2026;Action Plan 047;User AU
dez/25;Site C;System C;Process AV;DOC-048;Requirement AV;Category D;18/12/2025;18/06/2026;30/06/2026;Action Plan 048;User AV
jan/26;Site D;System A;Process AW;DOC-049;Requirement AW;Category A;10/01/2026;10/07/2026;20/07/2026;Action Plan 049;User AW
jan/26;Site E;System B;Process AX;DOC-050;Requirement AX;Category B;22/01/2026;22/07/2026;31/07/2026;Action Plan 050;User AX
